Stop_Word,Engellenen_Sayı
ve,20255
bir,13902
bu,12105
vakıfbank,6298
için,6276
müşteri,5773
olarak,4827
ancak,4731
de,4609
talep,4569
üzer,4564
rağmen,4508
tarihinde,4457
bankası,4235
ediyorum,4181
hizmet,4173
taraf,4100
kuveyt,4036
ile,4001
türk,3964
banka,3716
da,3530
mobil,3269
herhangi,3195
şekil,2962
hesabıma,2791
dur,2572
ilgili,2494
hiçbir,2339
işlem,2254
yaklaşık,2188
hem,2183
iptal,2182
ne,1964
sor,1948
önce,1933
edilme,1912
bankacılık,1897
daha,1599
bana,1595
istiyorum,1586
gün,1579
son,1548
sonra,1513
olma,1479
destek,1466
yıllık,1445
kadar,1408
şubeye,1402
ay,1397
hesabımdan,1383
her,1372
tüm,1359
yapılma,1352
yaptım,1339
saat,1316
işlemi,1314
ettim,1304
veya,1289
şubesi,1277
nedeniyle,1277
bilgilendirme,1246
fakat,1227
yer,1211
en,1190
altında,1179
ayrıca,1168
olduğu,1165
kes,1138
kulla,1133
tekrar,1127
olan,1125
aynı,1110
kartımdan,1105
sadece,1087
ise,1086
gerektik,1050
tarafından,1043
fark,1024
dışında,1021
kartım,1014
şube,1003
çözüm,997
söyle,989
ya,982
ait,974
al,972
ger,966
kartımı,959
topla,947
ben,935
iki,930
kez,923
numaral,903
şu,882
iletiş,869
uygulama,865
olduk,846
gibi,837
olduğunu,830
