operator,id,date,date_raw,username,title,full_text,company_reply,is_resolved,satisfaction,description_preview,keywords,view_count,upvote_count,url,banka_key,banka_label,ay_str,kelime_sayisi
VakifBank,31168105,2025-01-01,01 Ocak 2025 02:31,İsa,,,,Çözülmedi,,"VakıfBank Sky Limitim olmasına rağmen onaylamıyor. 10 gün öncesine kadar onay veriyordu. Para lazım olduğu zaman onaylamıyor, lazım değilken onaylıyor...",#Sky Limit,3383.0,0.0,,VakifBank,VakıfBank,2025-01,0
VakifBank,31169154,2025-01-01,01 Ocak 2025 11:58,Yusuf,,,,Çözülmedi,,"VakıfBank döviz kurları serbest fiyattan çok yüksek. Kredi kartı döviz ödemesi yapmak için mecburen dolar almak zorundayım. Banka bu durumu menfaatine kullanıyor. Kartı iptal edeceğim, bu haksızlığı tüm çevreme anlatacağım. Devlet bankası bunu yaparsa...",#Döviz,1228.0,1.0,,VakifBank,VakıfBank,2025-01,0
VakifBank,31170129,2025-01-01,01 Ocak 2025 14:08,Seda,,,,Çözülmedi,,VakıfBank Maas müşterisi olarak Sky kredi limitimi neden kullanamadığımı öğrenebilir miyim? İşleminizi buradan gerçekleştiremiyoruz diye uyarı alıyorum cevap bekliyorum. İnternet bankacılığından her zaman yapabildiğim bu işlemdi niçin yapamıyorum. Öğrenmek istiyorum. Teşekkürler,#Kredi,4572.0,1.0,,VakifBank,VakıfBank,2025-01,0
VakifBank,31172313,2025-01-01,01 Ocak 2025 18:28,Hazal,VakıfBank Mobil Bankacılık Erişim Sorunu Ve Müşteri Hizmetleri İletişimsizliği,"VakıfBank mobil bankacılığa giremiyorum. Telefonumu değiştirdim ve yeni telefonda mobil bankacılığım açılmıyor. Şifremi giriyorum kimlik bilgilerimi okutuyorum. Yüzümü de okutuyorum yine hata veriyor. Sonra müşteri hizmetlerini arıyorum telesekreterden başka kimse çıkmıyor ve işleme devam etmek için
...
1
Destek
1
Yorum","VakıfBank 01 Ocak 2025 18:28    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",Çözülmedi,,VakıfBank mobil bankacılığa giremiyorum. Telefonumu değiştirdim ve yeni telefonda mobil bankacılığım açılmıyor. Şifremi giriyorum kimlik bilgilerimi okutuyorum. Yüzümü de okutuyorum yine hata veriyor. Sonra müşteri hizmetlerini arıyorum telesekreterden başka kimse çıkmıyor ve işleme devam etmek için...,,10275.0,,https://www.sikayetvar.com/vakifbank/vakifbank-mobil-bankacilik-erisim-sorunu-ve-musteri-hizmetleri-iletisimsizligi,VakifBank,VakıfBank,2025-01,41
VakifBank,31174879,2025-01-01,01 Ocak 2025 23:42,Enes,,,,Çözülmedi,,"BDDK'nın 26.09.2024 tarihli 10972 sayılı kararına istinaden, OYAK ek hesap borcumu 60 ay olarak yapılandırmak istiyorum. Karşımıza muhatap çıkması için bu mercilere kadar başvuru talebimizin dikkate alınmasını isteyecek kadar olduysak, sizlerin de bazı şeyleri düşünmenizi ve taleplerimizi dikkate al...",#Ek Hesap,8311.0,0.0,,VakifBank,VakıfBank,2025-01,0
VakifBank,31176763,2025-01-02,02 Ocak 2025 10:08,Ayşe,,,,Çözülmedi,,"VakıfBank hesabımla başka hesaba fast anlık ödeme yaptım ve masraf tahsilatı çıkarttı. Daha önce hiçbir kesinti ile karşılaşmadım, herkese övüyordum tahsilat almıyor. Bence bu bankayı kullanın diye ama boşuna söylemişim, böyle bir karar alındıysa kart sahipleri bilgilendirilmeli, gerekli açıklamalar...",#FAST,1331.0,1.0,,VakifBank,VakıfBank,2025-01,0
VakifBank,31177916,2025-01-02,02 Ocak 2025 12:00,Eylül,Yurt Dışında VakıfBank SMS Aktivasyon Sorunu,Yeni telefonumda mobil uygulamayı aktifleştirmeye çalıştım ancak kimliğimi ve yüzümü okumasına rağmen sürekli hata veriyor. Uygulamaya giriş yapamıyorum. Yurt dışında olduğum için VakıfBank müşteri hizmetlerini arayamıyorum. Sorunun acilen giderilmesini talep ediyorum.,"VakıfBank 02 Ocak 2025 12:00    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",Çözülmedi,,"VakıfBank uygulamasını yanlışlıkla sildim. Tekrar yüklediğimde, kimlik ve şifre bilgilerimi doğru girdikten sonra, aktivasyon için SMS gelmesi gerekiyordu. Fakat şu an yurt dışında olduğumdan TR numarama SMS gelmiyor. Nasıl çözeceğimi de bilemiyorum. Lütfen yardımcı olunuz. VakıfBank mobil uygulamas...",#Şifre,4812.0,,https://www.sikayetvar.com/vakifbank/yurt-disinda-vakifbank-sms-aktivasyon-sorunu,VakifBank,VakıfBank,2025-01,31
VakifBank,31178947,2025-01-02,02 Ocak 2025 13:13,Zeynep,,,,Çözülmedi,,VakıfBank mobil bankacılığa giremiyorum. Bankomat kartımın geçerlilik süresi doldu ve yenilemek için uygulamaya giriyorum ama işleminiz gerçekleştirilememektedir yazıyor sürekli. Şifremi giriyorum kimlik bilgilerimi okutuyorum yine hata veriyor. Sonra müşteri hizmetlerini arıyorum telesekreterden ba...,#Banka Kartı,753.0,0.0,,VakifBank,VakıfBank,2025-01,0
VakifBank,31179276,2025-01-02,02 Ocak 2025 13:38,Mustafa,Yanlış Fon Alımı: Paramın İadesini İstiyorum,"VakıfBank mobil üzerinden bir fon alım talimatı verdim. Ancak VakıfBank, otomatik olarak ve haberim olmadan işlemi iptal etmiş ve VakıfBank para piyasası fonu adı altında fon alımı yapılmış olarak blokeli şekilde gözükmektedir. Bu fon alımının iptalini istiyorum. Gereğinin yapılmasını rica ederim.
1
Yorum","VakıfBank 02 Ocak 2025 13:38    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti Mustafa 13 Ocak 2025 11:56 Sorunum hemen çözüme ulaştı ilginiz için teşekkürler",Çözüldü,5.0,VakıfBank İnternet bankacılığı üzerinden fon alımı yaptım ancak talimat verdiğim fonlar dışında 6. Fon zp VakıfBank para piyasası fonu alınmış bunun s...,#Fon,5915.0,,https://www.sikayetvar.com/vakifbank/yanlis-fon-alimi-paramin-iadesini-istiyorum,VakifBank,VakıfBank,2025-01,43
VakifBank,31180874,2025-01-02,02 Ocak 2025 15:29,Ahmet,,,,Çözülmedi,,"VakıfBank hesabımla başka hesaba fast anlık ödeme yaptım ve masraf tahsilatı çıkarttı. Daha önce hiçbir kesinti ile karşılaşmadım, böyle bir karar alındıysa kart sahipleri bilgilendirilmeli, gerekli açıklamalar yapılmalı. Bu durumun açıklanmasını ve masraf tahsilatlarının geri yatırılması istiyorum....",#FAST,1403.0,1.0,,VakifBank,VakıfBank,2025-01,0
