operator,id,date,date_raw,username,title,full_text,company_reply,is_resolved,satisfaction,description_preview,keywords,view_count,upvote_count,url
İş Bank,34725107,12/31/2025,31 Aralık 2025 22:43,Mebuse,İş Bankası Kredi Kartımda Yetkisiz 34.000 TL İşlemi Ve Müşteri Hizmetlerine Ulaşılamaması,"İş Bankası Maximiles Black kredi kartıma ait son ekstreme göre, 26 Kasım tarihinde Ankara’da “İş Güvenliği Totem” adlı bir firmadan 34.000 TL tutarında bir harcama yapılmış görünüyor. Oysa ben o gün İstanbul’daydım ve aynı tarihli Galataport Liman Lokantası harcamam da bunu açıkça gösteriyor. Ankara’daki bu işlemi kesinlikle ben yapmadım.
Ekstre mailini kısa süre önce görüp fark eder etmez yurt dışından bankayı aramaya başladım; ancak İş Bankası’nın hiçbir telefon hattına ulaşamıyorum. Müşteri hizmetlerine bağlanamıyorum, kayıp/çalıntı hattına dahi erişemiyorum, dolayısıyla itiraz kaydı dahi oluşturamıyorum.
Benim onayım ve bilgim dışında görünen bu 34.000 TL’lik Ankara işlemine derhal inceleme başlatılmasını ve işlemin iptal edilmesini, ayrıca güvenliğim için ilgili kredi kartımın acilen kullanıma kapatılmasını ve tüm süreçle ilgili tarafıma yazılı olarak bilgilendirme yapılmasını talep ediyorum.",,Çözüldü,5,"İş Bankası Maximiles Black kredi kartıma ait son ekstreme göre, 26 Kasım tarihinde Ankara’da “İş Güvenliği Totem” adlı bir firmadan 34.000 TL tutarında bir harcama yapılmış görünüyor. Oysa ben o gün İstanbul’daydım ve aynı tarihli Galataport Liman Lokantası harcamam da bunu açıkça gösteriyor. Ankara",Black Kart,823,0,https://www.sikayetvar.com/is-bankasi/is-bankasi-kredi-kartimda-yetkisiz-34000-tl-islemi-ve-musteri-hizmetlerine-ulasilamamasi
İş Bank,34724320,12/31/2025,31 Aralık 2025 20:46,Ufuk,İş Bankası Kapatılmış Kredi Dosyasının Açık Kayıt Sorunu,"İş Bankası’ndan 2014 yılında kullandığım ve 2018 yılında tamamını ödeyerek kapattığım kredi nedeniyle o dönem icralı olmuştum. Aradan yıllar geçmesine ve borcumu tamamen kapatmama rağmen, farklı bankalara başvurduğumda sistemlerinde hâlâ “açık dosyanız gözüküyor” uyarısı çıktığı söyleniyor ve bu nedenle mağduriyet yaşıyorum.
Konu ile ilgili dosyaya bakan avukatla da görüştüğümde, dosyanın kendilerinde işlem gördüğünü ancak şu an bakamayacağını, bankanın kendilerini arzu ettiğini ifade ediyor. Elimde borcun kapandığını gösteren belgeler bulunmasına rağmen, diğer bankalar nezdinde kaydımda açık dosya görünmeye devam ediyor ve bu durum kredi/limit süreçlerimde olumsuzluğa yol açıyor.
İş Bankası’ndan, kapatılmış olan bu dosyanın tüm sistemlerde kapalı olarak güncellenmesini, tarafıma ait sicil ve kayıtların düzeltilmesini ve başka bankalarda hâlâ “açık dosya” şeklinde görülen kaydın tamamen kaldırılmasını talep ediyorum.",,Bilinmiyor,1,"İş Bankası’ndan 2014 yılında kullandığım ve 2018 yılında tamamını ödeyerek kapattığım kredi nedeniyle o dönem icralı olmuştum. Aradan yıllar geçmesine ve borcumu tamamen kapatmama rağmen, farklı bankalara başvurduğumda sistemlerinde hâlâ “açık dosyanız gözüküyor” uyarısı çıktığı söyleniyor ve bu ned",Kredi,421,0,https://www.sikayetvar.com/is-bankasi/is-bankasi-kapatilmis-kredi-dosyasinin-acik-kayit-sorunu
İş Bank,34708778,12/31/2025,31 Aralık 2025 18:53,Emre,iyzico’dan İzinsiz 9.100 TL Kart İşlemi Ve Geri Ödeme Talebi!,"26 Aralık tarihinde, iyzico aracılığıyla bilgim ve onayım olmadan kredi/banka kartımdan 9.100 TL tutarında işlem yapıldığını fark ettim. Bu harcamayı kesinlikle ben yapmadım ve herhangi bir onay vermedim.
Durumu fark eder etmez bankamı arayarak kartımı güvene aldırdım ve izinsiz bu işlemle ilgili kayıt oluşturdum. Ancak iyzico’ya ulaşmaya çalışmama rağmen herhangi bir muhatap bulamadım ve işlemle ilgili bilgi alamadım.
İlgili tutarın tarafıma iade edilmesini ve bu işlemin nasıl ve hangi üye iş yeri üzerinden gerçekleştiğinin detaylı şekilde araştırılmasını talep ediyorum. Mağduriyetimin en kısa sürede giderilmesini rica ederim.",,Çözüldü,5,"26 Aralık tarihinde, iyzico aracılığıyla bilgim ve onayım olmadan kredi/banka kartımdan 9.100 TL tutarında işlem yapıldığını fark ettim. Bu harcamayı kesinlikle ben yapmadım ve herhangi bir onay vermedim. Durumu fark eder etmez bankamı arayarak kartımı güvene aldırdım ve izinsiz bu işlemle ilgili k",,138,0,https://www.sikayetvar.com/is-bankasi/iyzicodan-izinsiz-9100-tl-kart-islemi-ve-geri-odeme-talebi
İş Bank,34723192,12/31/2025,31 Aralık 2025 18:31,Gülçin,Yıllık Kart Aidatı Ve BSMV Kesintisine İtiraz,"Yıllardır müşterisi olduğum İş Bankası’nın Antalya ili Finike ilçesi şubesine bağlı ve 10 sene daha fazla süredir düzenli olarak kullandığım, 4652 ile biten Maximum kredi kartıma 04.12.2025 tarihinde 527,50 TL yıllık kart aidatı ve 26,38 TL BSMV ücreti yansıtılmıştır. Bankanızın uzun süreli ve aktif bir müşterisi olmama rağmen bu tutarların bilgim ve onayım dışında kesilmesini kabul etmiyorum.
İşlem sonrası müşteri hizmetlerine ulaşarak itiraz etmek istedim; ancak herhangi bir yetkiliye bağlanamadığım için talebimi iletemedim. Bu nedenle hem 527,50 TL kart aidatının hem de 26,38 TL BSMV tutarının eksiksiz şekilde kredi kartı hesabıma iadesini talep ediyorum.
Ayrıca uzun yıllardır bankanızın müşterisi olmam sebebiyle, bundan sonraki dönemlerde de kartıma yıllık üyelik ücreti veya benzeri isimler altında herhangi bir kesinti yapılmamasını, eğer yapılacaksa da öncesinde tarafıma açık, anlaşılır ve net bir bilgilendirme yapılmasını talep ettiğimi belirtmek istiyorum. Kartımı aktif olarak kullanmaya devam etmek istiyorum; ancak bu tür haberim olmadan gerçekleştirilen kesintilerin son bulmasını bekliyorum.",,Bilinmiyor,3,"Yıllardır müşterisi olduğum İş Bankası’nın Antalya ili Finike ilçesi şubesine bağlı ve 10 sene daha fazla süredir düzenli olarak kullandığım, 4652 ile biten Maximum kredi kartıma 04.12.2025 tarihinde 527,50 TL yıllık kart aidatı ve 26,38 TL BSMV ücreti yansıtılmıştır. Bankanızın uzun süreli ve aktif",Kredi Kartı,743,0,https://www.sikayetvar.com/is-bankasi/yillik-kart-aidati-ve-bsmv-kesintisine-itiraz
İş Bank,34723141,12/31/2025,31 Aralık 2025 18:24,Joseph,İş Bankası Maksimum Kredi Kartından Haksız 850 TL Aidat Kesintisi,"İş Bankası Maksimum kredi kartımdan, yıllık kart aidatı adı altında haksız bir şekilde 850 TL tutarında ücret kesilmiştir. Bu kesintinin hiçbir şekilde tarafıma önceden açık ve net bir şekilde bildirilmemesi ve alınan tutarın fahiş olması nedeniyle mağduriyet yaşamaktayım.
Durumu bankaya hem dilekçe yazarak hem de müşteri hizmetlerini arayarak ilettim, ayrıca talep de oluşturdum. Ancak buna rağmen tarafıma yalnızca olumsuz ve tamamen robotik, kopyala-yapıştır tarzında cevaplar verildi, somut bir çözüm sunulmadı ve aidat iadesi yapılmadı.
Haksız yere tahsil edildiğini düşündüğüm 850 TL kart aidatımın tamamının hesabıma iade edilmesini, ayrıca kredi kartımdan bundan sonraki dönemlerde de yıllık kart aidatı adı altında herhangi bir kesinti yapılmamasını talep ediyorum. Aksi halde yasal haklarımı kullanarak gerekli tüm yasal süreçleri başlatacağımı, bu haksız uygulamanın takipçisi olacağımı belirtmek isterim.",,Bilinmiyor,1,"İş Bankası Maksimum kredi kartımdan, yıllık kart aidatı adı altında haksız bir şekilde 850 TL tutarında ücret kesilmiştir. Bu kesintinin hiçbir şekilde tarafıma önceden açık ve net bir şekilde bildirilmemesi ve alınan tutarın fahiş olması nedeniyle mağduriyet yaşamaktayım. Durumu bankaya hem dilekç",Kredi,529,1,https://www.sikayetvar.com/is-bankasi/is-bankasi-maksimum-kredi-kartindan-haksiz-850-tl-aidat-kesintisi
İş Bank,34722711,12/31/2025,31 Aralık 2025 17:38,Furkan,,,,Bilinmiyor,,,,478,0,
İş Bank,34722611,12/31/2025,31 Aralık 2025 17:29,Burcu,Yapılandırma Sonrası 19.000 TL’lik Ödeme Hesapta Görünmüyor,"Türkiye İş Bankası’na ait maksimum kredi kartım için Temmuz ayında yapılandırma yaptırdım. Yapılandırmadan sonra düzenli ödemelerimde gecikmeler oldu, ancak yakın zamanda yaklaşık 19.000 TL tutarında toplu ödeme yaptım. Buna rağmen hesap hareketlerimde ve borç durumumda sürekli eksi bakiye gösterilmeye devam edildi; ne kadar borcum kaldığını net olarak göremiyorum ve fazla ödeme yapmış olabileceğimi düşünüyorum.
Yapılandırma sonrası yaptığım ödemelerin, özellikle 19.000 TL’lik toplu ödemenin, borcumdan doğru şekilde düşülmesini ve şu anda kalan net borç tutarımın açık ve anlaşılır bir biçimde tarafıma iletilmesini istiyorum. Eğer fazla ödeme yaptıysam, bu tutarın iade edilmesini ya da kalan borcumdan düşülmesini talep ediyorum.
Yaşadığım bu karışıklığın giderilmesini ve kredi kartı borcumun, yapılandırma ve yaptığım ödemeler dikkate alınarak şeffaf ve doğru şekilde güncellenmesini rica ediyorum. Hatta kartımın doğrudan kapatılmasını talep ediyorum; ödemelerle çok mağduriyet yaşadım ve zaten bir sürü, nereden geldiğini bilmediğim faiz işlendi.",,Çözüldü,5,"Türkiye İş Bankası’na ait maksimum kredi kartım için Temmuz ayında yapılandırma yaptırdım. Yapılandırmadan sonra düzenli ödemelerimde gecikmeler oldu, ancak yakın zamanda yaklaşık 19.000 TL tutarında toplu ödeme yaptım. Buna rağmen hesap hareketlerimde ve borç durumumda sürekli eksi bakiye gösterilm",Kredi Kartı,0,0,https://www.sikayetvar.com/is-bankasi/yapilandirma-sonrasi-19000-tllik-odeme-hesapta-gorunmuyor
İş Bank,34722096,12/31/2025,31 Aralık 2025 16:41,Ahmet,İş Bankası İskenderun Şubesinde Maaş Promosyonumun Ödenmemesi,"15 Aralık 2025 tarihinde Türkiye İş Bankası İskenderun Şubesi’ne yatan ilk maaşımı aldım. Kurumumuz ile banka arasında yapılan üç yıllık anlaşma gereği, maaşım yattığı anda hesabıma maaş promosyonumun da yatırılmış olması gerekiyordu. Aynı birimde görev yaptığım personelin tamamı Ekim ayı içerisinde bu promosyonu sorunsuz şekilde aldı.
26 Aralık’ta bankayı arayarak durumu anlattım; ancak aradan geçen süreye rağmen hâlâ hesabıma herhangi bir promosyon ödemesi yapılmadı. Aynı kurum bünyesinde yer alan diğer personel promosyondan faydalanmışken, benim hesabıma ödeme yapılmaması mağduriyet yaşamama neden olmaktadır.
Türk Silahlı Kuvvetleri personeli olarak, tarafıma tanımlanması gereken üç yıllık maaş promosyonumun diğer personelde olduğu gibi gecikmeksizin ve eksiksiz şekilde hesabıma yatırılmasını, bu süreçle ilgili olarak banka yetkililerinin tarafıma
telefon
la ulaşarak açık bir şekilde bilgilendirme yapmasını talep ediyorum.",,Bilinmiyor,1,"15 Aralık 2025 tarihinde Türkiye İş Bankası İskenderun Şubesi’ne yatan ilk maaşımı aldım. Kurumumuz ile banka arasında yapılan üç yıllık anlaşma gereği, maaşım yattığı anda hesabıma maaş promosyonumun da yatırılmış olması gerekiyordu. Aynı birimde görev yaptığım personelin tamamı Ekim ayı içerisinde",Promosyon,0,2,https://www.sikayetvar.com/is-bankasi/is-bankasi-iskenderun-subesinde-maas-promosyonumun-odenmemesi
İş Bank,34722107,12/31/2025,31 Aralık 2025 16:41,Taner,İhtiyaç Kredisine Bağlı Sigorta Priminin İptali Ve 16.920 TL İadesi Gerçekleşmedi,"29.12.2025 tarihinde İş Bankası mobil bankacılık üzerinden ihtiyaç kredisi kullandım ve krediye bağlı olarak 16.920 TL tutarında sigorta primi hesabımdan kesildi. Aynı gün mobil bankacılık üzerinden sigorta iptali talebinde bulundum; ancak sigorta iptalim henüz gerçekleşmedi ve tarafıma herhangi bir para iadesi yapılmadı.
Konu ile ilgili
müşteri hizmetleri
yle görüştüğümde sigortanın iptal edileceği ve kesilen tutarın iade edileceği bilgisi verildi; fakat aradan zaman geçmesine rağmen ne sigorta iptali yapıldı ne de hesabıma herhangi bir iade yansıdı. İşleme ait poliçe/sözleşme numaram 10000009955600’dür.
İhtiyaç kredisine bağlı yapılan sigortanın ivedilikle iptal edilmesini ve kesilen 16.920 TL’nin tamamının en kısa sürede hesabıma iade edilmesini talep ediyorum.",,Çözüldü,1,29.12.2025 tarihinde İş Bankası mobil bankacılık üzerinden ihtiyaç kredisi kullandım ve krediye bağlı olarak 16.920 TL tutarında sigorta primi hesabımdan kesildi. Aynı gün mobil bankacılık üzerinden sigorta iptali talebinde bulundum; ancak sigorta iptalim henüz gerçekleşmedi ve tarafıma herhangi bir,Sigorta,669,0,https://www.sikayetvar.com/is-bankasi/ihtiyac-kredisine-bagli-sigorta-priminin-iptali-ve-16920-tl-iadesi-gerceklesmedi
İş Bank,34719921,12/31/2025,31 Aralık 2025 16:41,Beyza,İş Bankası Üyelik Ücreti Şartlı 108 Bin Tl Harcama Koşulu,"25 Ekim 2025 tarihinde sonu 7162 ile biten İş Bankası Maximum kredi kartımdan “kredi kartı yıllık üyelik ücreti” ve “kredi kartı yıllık üyelik ücreti BSMV’si” adı altında toplam 553,88 TL tutarında aidat kesintisi yapılmıştır. Yaklaşık 2–3 yıldır bu kartı aktif olarak kullanan bir müşteriniz olarak, hiçbir ek hizmet almadığım bu ücretlendirmeyi kesinlikle kabul etmiyorum.
Konu ile ilgili olarak müşteri hizmetlerinizi aradığımda, bu kesintinin Maximum kart avantajları nedeniyle yapıldığı, iade edilemeyeceği, yalnızca 6 ay içinde 108.000 TL harcama yapmam durumunda iade edilebileceği tarafıma iletilmiştir. Müşteri memnuniyetini tamamen göz ardı eden ve tüketiciyi daha fazla harcamaya zorlayan bu yaklaşımı son derece yanlış ve rahatsız edici buluyorum.
28 Mayıs 2014 tarihli 6502 sayılı tüketici kanunu’nun 31. Maddesinin 3. Fıkrası uyarınca, kart çıkaran kuruluşların tüketicilere yıllık üyelik aidatı alınmayan bir kart türü sunma zorunluluğu bulunmaktadır. 4822 sayılı kanunla değişik 4077 sayılı tüketicinin korunması kanunu’nun 6. Maddesi kapsamında, herhangi bir gerçek hizmet karşılığı olmayan ve müzakere edilemeyen bu tür ücretlerin haksız şart niteliğinde olduğu açıktır. Ayrıca 13. Hukuk dairesi’nin 2011/4736 esas, 2011/11579 sayılı kararı doğrultusunda, kart aidatlarının geriye dönük olarak da iade edilmesine ilişkin kesin hüküm mevcuttur.
Tüm bu yasal düzenlemeler ve yargı kararları ortadayken, aidat iadesini 6 ay içinde 108.000 TL harcama şartına bağlamanız hem hakkaniyete hem de tüketici hukukuna aykırıdır. Kesilen 553,88 TL tutarındaki yıllık üyelik ücretinin ve BSMV’sinin herhangi bir koşula bağlanmaksızın aynı karta iade edilmesini talep ediyor, aksi halde yasal yollara başvuracağımı bilgilerinize sunuyorum.",,Bilinmiyor,3,"25 Ekim 2025 tarihinde sonu 7162 ile biten İş Bankası Maximum kredi kartımdan “kredi kartı yıllık üyelik ücreti” ve “kredi kartı yıllık üyelik ücreti BSMV’si” adı altında toplam 553,88 TL tutarında aidat kesintisi yapılmıştır. Yaklaşık 2–3 yıldır bu kartı aktif olarak kullanan bir müşteriniz olarak,",Maximum Kart,587,0,https://www.sikayetvar.com/is-bankasi/is-bankasi-uyelik-ucreti-sartli-108-bin-tl-harcama-kosulu
