Banka,Konu,Etiket,Çözüm %,Şikayet Sayısı
VakıfBank,K1,"ATM, Alışveriş ve Kampanya",45.9,303
VakıfBank,K2,Kredi ve Borç Yönetimi,42.0,1051
VakıfBank,K3,Dijital Bankacılık ve Güvenlik,44.4,338
VakıfBank,K4,Kart Aidat ve Ücret Şikayetler,32.3,331
VakıfBank,K5,Sigorta ve İhtiyaç Kredisi,33.9,502
VakıfBank,K6,Konu 6,38.4,560
VakıfBank,K7,Konu 7,34.1,126
VakıfBank,K8,Konu 8,31.7,962
VakıfBank,K9,Konu 9,38.8,559
İşBankası,K1,Kredi Kartı Limiti ve Kampanya,36.4,151
İşBankası,K2,Mobil Uygulama ve İşlem Sorunl,30.4,796
İşBankası,K3,Aidat ve Yıllık Ücret İtirazı,25.3,578
İşBankası,K4,Maaş Promosyonu ve Kart Teslim,39.1,654
İşBankası,K5,"Borç, Haciz ve Hesap Blokesi",45.3,192
İşBankası,K6,Konu 6,44.2,215
İşBankası,K7,Konu 7,34.5,249
Kuveyt Türk,K1,Kredi Kartı ve Kampanya Şikaye,33.3,675
Kuveyt Türk,K2,Davet Kampanyası ve ATM/Ödül,29.8,1349
Kuveyt Türk,K3,Para Transferi ve Şube İşlemle,28.7,1680
