Banka,Konu,Etiket,Kelimeler,Optimal_k,Coherence,Perplexity
VakıfBank,Konu_1,"ATM, Alışveriş ve Kampanya","kart_aidat, kredi, ücret, iade, kart, tutar, aidat, alına, tamam_iade, ekstre, kesile, yansıtıldık",9,0.5898,-6.7796
VakıfBank,Konu_2,Kredi ve Borç Yönetimi,"kredi, tutar, sigorta, ihtiyaç_kredi, iade, ücret, hayat_sigorta, fer_kaz, uygulama, poliçe, kullan, bağlı",9,0.5898,-6.7796
VakıfBank,Konu_3,Dijital Bankacılık ve Güvenlik,"işlem, tutar, iade, mağduriyet, hesap, derhal, yapıldık, süre, güvenlik, lik, arayarak, izinsiz",9,0.5898,-6.7796
VakıfBank,Konu_4,Kart Aidat ve Ücret Şikayetleri,"limit, sky_limit, kredi, uygulama, kullanamıyor, sorunsuz, hesap, deneme, kullanmak, işlem_gerçekleştiremiyor, alıyor, hgs",9,0.5898,-6.7796
VakıfBank,Konu_5,Sigorta ve İhtiyaç Kredisi,"para, atm, kayıt, şlem, tutar, nin, civar, hesap, atm_para, süre, işlem, aradı",9,0.5898,-6.7796
VakıfBank,Konu_6,Konu 6,"maaş, bloke, hesap, icra, ödeme, personel, ara, işlem, gerekçe, şube, giriş, para",9,0.5898,-6.7796
VakıfBank,Konu_7,Konu 7,"tutar, kesinti, tahsil_edile, ücret, iade, eksiksiz_iade, faiz, kabul_etmiyor, tahsilat, sigorta_poliçe, hesap, tahsil",9,0.5898,-6.7796
VakıfBank,Konu_8,Konu 8,"borç, ödeme, hesap, kredi, maaş, faiz, yapılandırma, taksit, kart, gecikme, vade, tutar",9,0.5898,-6.7796
VakıfBank,Konu_9,Konu 9,"kart, kredi, kampanya, puan, alışveriş, tutar, ekstre, harcama, yaptık, harca, özellik, ödeme",9,0.5898,-6.7796
İşBankası,Konu_1,Kredi Kartı Limiti ve Kampanya,"tutar, maaş, numara, faiz, hesap, arama, ücret, karar, çek, ödeme, rahatsız, sigorta",7,0.4632,-6.5918
İşBankası,Konu_2,Mobil Uygulama ve İşlem Sorunları,"kart, kredi, aidat, ücret, tutar, iade, borç, limit, ekstre, ödeme, kullanıyor, yıl",7,0.4632,-6.5918
İşBankası,Konu_3,Aidat ve Yıllık Ücret İtirazı,"maaş, hesap, borç, şube, ödeme, uygulama, işlem, icra, personel, nede, yaşıyor, sür",7,0.4632,-6.5918
İşBankası,Konu_4,Maaş Promosyonu ve Kart Teslimatı,"para, hesap, tutar, ödeme, atm, işlem, kredi, iade, kart, şlem, borç, görünüyor",7,0.4632,-6.5918
İşBankası,Konu_5,"Borç, Haciz ve Hesap Blokesi","uygulama, giriş, bloke, işlem, hesap, şcep_uygulama, kredi, güvenlik, teknik, çek, şifre, kanal",7,0.4632,-6.5918
İşBankası,Konu_6,Konu 6,"kart, alışveriş, kampanya, puan, kredi, maxipuan, harcama, tutar, kampanya_koşul, lik, taksit, ödeme",7,0.4632,-6.5918
İşBankası,Konu_7,Konu 7,"kart, kredi, aidat, ücret, iade, tutar, üyelik_ücret, üyelik, iptal, hake_heyet, alına, işlem",7,0.4632,-6.5918
Kuveyt Türk,Konu_1,Kredi Kartı ve Kampanya Şikayetleri,"kampanya, kart, alışveriş, iade, tutar, kampanya_şart, davet, ödül, kampanya_kapsam, harcama, uygulama, harca",3,0.4141,-6.7663
Kuveyt Türk,Konu_2,Davet Kampanyası ve ATM/Ödül,"kart, uygulama, hesap, numara, şube, atm, giriş, temsilci, işlem, para, telefon, aradı",3,0.4141,-6.7663
Kuveyt Türk,Konu_3,Para Transferi ve Şube İşlemleri,"para, hesap, tutar, ödeme, kredi_kart, kredi, kart, ücret, işlem, limit, şube, iade",3,0.4141,-6.7663
