operator,id,date,date_raw,username,title,full_text,company_reply,is_resolved,satisfaction,description_preview,keywords,view_count,upvote_count,url
İş Bank,34722711,2025-12-31,31 Aralık 2025 17:38,Furkan,,,,Çözüldü,,,,478,0,
İş Bank,34717532,2025-12-31,31 Aralık 2025 09:21,Özlem,"Maaşımın Tüm Tutarı Kesildi, Temel Giderlerime Para Bırakılmadı","İş Bankası’nda maaş hesabı kullanan bir müşteriyim. Zaten maaşımdan icra kesintisi yapılırken, aynı zamanda kredi kartı, ihtiyaç kredisi ve ek hesap borcum nedeniyle maaş hesabımdan da kesinti yapılıyor. Daha önce de kesinti oluyordu ancak en azından ev kiramı ve temel giderlerimi ödeyebiliyordum. Son maaşımda ise yatan 24.000 TL’nin tamamı çekildi ve hesabıma kullanabileceğim hiçbir tutar bırakılmadı.Şu an ev kiramı, faturalarım, kızımın servis ücreti ve diğer zorunlu ihtiyaçlarım için elimde hiçbir para kalmadı. Tek geçim kaynağım maaşım ve bu durum beni gerçekten çok zor durumda bıraktı. Maaşımın belirli bir kısmının, özellikle en azından 18.000 TL’lik bölümünün kira ve temel ihtiyaçlarım için hesabımda bırakılmasını, kalan kısmından kesinti yapılmasını istiyorum. Ayrıca son yapılan kesintiden kira bedelimi karşılayacak tutarın iadesini talep ediyorum.Bu konuyla ilgili müşteri hizmetlerini aradığımda, sadece “gecikmiş borcunuz var, borcunuzu kestik” şeklinde yanıt aldım ve mağduriyetimle ilgili herhangi bir olumlu yaklaşım sergilenmedi. Hem icra kesintisi hem de maaş hesabımdan tam kesinti yapılması nedeniyle çok ciddi maddi sıkıntı yaşıyorum. Mağduriyetimin dikkate alınmasını, zor durumda bırakılmadan, makul bir ödeme düzenlemesi yapılmasını ve maaşımdan kesinti yapılırken geçimimi sağlayabileceğim bir tutarın mutlaka bırakılmasını talep ediyorum.",Özlem 02 Ocak 12:34 Teşekkürler Özlem 06 Ocak 11:59 Teşekkür,Çözüldü,5/5,"İş Bankası’nda maaş hesabı kullanan bir müşteriyim. Zaten maaşımdan icra kesintisi yapılırken, aynı zamanda kredi kartı, ihtiyaç kredisi ve ek hesap b...",#Maaş,931,,https://www.sikayetvar.com/is-bankasi/maasimin-tum-tutari-kesildi-temel-giderlerime-para-birakilmadi
İş Bank,34723141,2025-12-31,31 Aralık 2025 18:24,Joseph,İş Bankası Maksimum Kredi Kartından Haksız 850 TL Aidat Kesintisi,"20 Ekim 2025 tarihinde, İş Bankası internet bankacılığı hesabımda 894 TL tutarında kart aidatı yansıtıldığını fark ettim. Üç ay önce müşteri hizmetlerini arayarak hesabımı kapatmak istediğimde, hesabı kapatmamam halinde bana kart aidatı ve faiz ücreti alınmayacağı sözü verilmişti. Ancak, herhangi bi
...",,,1/5,"İş Bankası Maksimum kredi kartımdan, yıllık kart aidatı adı altında haksız bir şekilde 850 TL tutarında ücret kesilmiştir. Bu kesintinin hiçbir şekilde tarafıma önceden açık ve net bir şekilde bildirilmemesi ve alınan tutarın fahiş olması nedeniyle mağduriyet yaşamaktayım. Durumu bankaya hem dilekç...",#Kredi,598,,https://www.sikayetvar.com/is-bankasi/is-bankasi-maksimum-kredi-kartindan-haksiz-850-tl-aidat-kesintisi
İş Bank,34717105,2025-12-31,31 Aralık 2025 03:49,Altan,Yurt Dışında İşCep Hesabına Erişilemiyor,"Türkiye İş Bankası’nın İşCep uygulamasına 3 gündür giriş yapamıyorum. Sim kart değişikliğini 15 Kasım’da yaptığım için uygulama üzerimden bloke kaldırmamı istiyor, ancak bu işlemi yapmaya çalıştığımda sürekli “kimlik tarama hatası” uyarısı alıyorum ve işlem tamamlanmıyor. Maaşım yatalı yaklaşık 2 h
...
1
Destek",,Çözüldü,1/5,Yaklaşık 4–5 yıldır Türkiye İş Bankası müşterisiyim ve şu an Senegal’de yurt dışında çalışıyorum. 2 gündür İşCep mobil bankacılık hesabıma giriş yapamıyorum. Bugün Türkiye saatiyle 17.00 civarında yeniden denediğimde de “Dijital bankacılık hizmetimizden yararlanmak için lütfen şubemize başvurunuz” ş...,,3256,,https://www.sikayetvar.com/is-bankasi/yurt-disinda-iscep-hesabina-erisilemiyor
İş Bank,34722611,2025-12-31,31 Aralık 2025 17:29,Burcu,Yapılandırma Sonrası 19.000 TL’lik Ödeme Hesapta Görünmüyor,"Türkiye İş Bankası müşterisi olarak, kredi kartı borcumun ve mevcut kredilerimin yapılandırılması için dün banka şubesine başvurdum. Ancak şubede hiçb
...",,Çözüldü,5/5,"Türkiye İş Bankası’na ait maksimum kredi kartım için Temmuz ayında yapılandırma yaptırdım. Yapılandırmadan sonra düzenli ödemelerimde gecikmeler oldu, ancak yakın zamanda yaklaşık 19.000 TL tutarında toplu ödeme yaptım. Buna rağmen hesap hareketlerimde ve borç durumumda sürekli eksi bakiye gösterilm...",#Kredi Kartı,5999,,https://www.sikayetvar.com/is-bankasi/yapilandirma-sonrasi-19000-tllik-odeme-hesapta-gorunmuyor
İş Bank,34721086,2025-12-31,31 Aralık 2025 15:29,Atilla,İş Bankası Konak Şubesi'nden Hatalı EFT İadesi Talebi Ve Cevapsızlık,"2-15 Kasım 2025 tarihleri arasında Tesla Model Y satın almak için tesla.com ve İzmir İstinyePark Satış Ofisi üzerinden işlem yaptım. Sipariş numarası rn125135498 ile İş Bankası IBAN hesabına toplam 240.000 TL peşinat ödemesi gerçekleştirdim. Tüm işlemler sırasında kişisel bilgilerimin gizli kalacağı
...",Atilla 02 Ocak 11:12 Türkiye İş Bankası Konak şubesi paramı gasp ediyor,Çözüldü,1/5,"23.12.2025 tarihinde başka bir bankadaki hesabımdan Türkiye İş Bankası Konak Şubesi’ndeki bir hesaba 2.500 TL tutarında EFT yaptım. Kubamotor.net üzerinden verdiğim sipariş nedeniyle sahte numara ve sahte hesaba yönlendirildiğimi, bu nedenle işlemin hatalı EFT kapsamına girdiğini sonradan fark ettim...",#EFT,752,,https://www.sikayetvar.com/is-bankasi/is-bankasi-konak-subesinden-hatali-eft-iadesi-talebi-ve-cevapsizlik
İş Bank,34721755,2025-12-31,31 Aralık 2025 16:19,Arda,Mobil Uygulamada Doğru Bilgi Girişiyle Hesap Açma Engeli,"İş Bankası mobil uygulaması üzerinden bireysel hesap açma işlemi başlatmıştım, ancak yaklaşık bir haftadır yarım kalan bu işlemi devam ettiremiyorum. Uygulamada işlemime devam etmek istediğimde 'Bu kimlik bilgileri ile devam edemezsiniz, şubeye başvurunuz' şeklinde bir uyarı alıyorum. Kimlik bilgil
...
1
Yorum",,,1/5,"İş Bankası mobil uygulaması üzerinden uzaktan müşteri olmak ve hesap açmak istedim ancak uygulama üzerinden üyelik açamıyorum. T. C. Kimlik numaramı, doğum tarihimi ve telefon numaramı doğru girmeme rağmen sistem her seferinde “bilgileriniz hatalıdır, lütfen şubeye gidin” uyarısı veriyor. Yaklaşık...",#Hesap,1367,,https://www.sikayetvar.com/is-bankasi/mobil-uygulamada-dogru-bilgi-girisiyle-hesap-acma-engeli
İş Bank,34719749,2025-12-31,31 Aralık 2025 16:31,İrem,İş Bankası İstemediğim Kredi Kartı Kapatılamıyor Ve Puan Borcu Hesaba Yansıyor,"Aylar önce tam 3 kere müşteri hizmetlerini arayarak kapattığım kredi kartımın aylar sonra bugün 0.07 kuruş borcunuz vardır şeklinde İş Bankası'ndan bir mesaj aldım. Müşteri hizmetlerini aradığımda hiçbir bilgimi göremiyorlar İşCep uygulamasını indirip şifre almam lazımmış. Kartımı aylar önce kestim
...
1
Destek",,,1/5,"İşCep bana istemediğim halde kredi kartı verdi. Kapatmak isteyince de kapatmayıp puan gönderdi. Puanınızı kullanın, beleş para sonuçta sonra kapatırsınız, dendi. Kullandım ve kapattığımda da puan borç olarak hesabıma yansımış. Hem istemeden kart verildi, kapatmak istedim, kapatmayıp dalga geçtiler....",#Borç,441,,https://www.sikayetvar.com/is-bankasi/is-bankasi-istemedigim-kredi-karti-kapatilamiyor-ve-puan-borcu-hesaba-yansiyor
İş Bank,34720067,2025-12-31,31 Aralık 2025 14:14,Fırat,İş Bankası Kredi Kartımdan Yetkisiz 4.575 TL Harcama Ve Yurt Dışında Banka İletişim Sorunu!,"02.12.2025 tarihinde saat 03.57’de, bilgim ve onayım dışında İş Bankası Maximum kredi kartıma bağlı sanal kartımdan önce 1 TL, hemen ardından 498 TL olmak üzere toplam 499 TL tutarında Exxen adına ücret çekimi yapılmıştır. Exxen firmasıyla hiçbir üyeliğim bulunmamasına rağmen bu harcama gerçekleştir
...",,Çözüldü,5/5,"31.12.2025 tarihinde İş Bankası Maximum kredi kartımdan, bilgim ve onayım dışında “Turkısh Shawarma Sarfı Ge” isimli bir işletmeden 4.575,49 TL tutarında harcama yapılmıştır. İşlemin gerçekleştiği saat olan 09.31’de Gürcistan sınır kapısında pasaport ve geçiş işlemlerim yapılıyordu, fiziksel olarak...",#Maximum Kart,378,,https://www.sikayetvar.com/is-bankasi/is-bankasi-kredi-kartimdan-yetkisiz-4575-tl-harcama-ve-yurt-disinda-banka-iletisim-sorunu
İş Bank,34716665,2025-12-31,31 Aralık 2025 01:41,Mehmet,İptal Edilen Kredi Kartı Nedeniyle MaxiPuanların Kullanılamaması,"İş Bankası mobil bankacılık uygulamasında MaxiPuan'larım görünmesine rağmen, kartımda puanlarım görünmediği için harcama yapamıyorum. Yaklaşık 3 haftadır bu sorun devam ediyor ve müşteri hizmetleri ile bankaya gitmeme rağmen herhangi bir çözüm sunulmadı. Müşteri hizmetleri teknik bir sorun olduğunu
...",,,1/5,"İş Bankası kredi kartımı iptal ettirdikten sonra, kartımdan kazanmış olduğum MaxiPuan’ları kullanamıyorum. Hesabımda puanlar görünmesine ve son kullanma tarihine yaklaşık 1 ay olmasına rağmen, banka kartım ile bu MaxiPuan’ları harcama imkanı tanınmıyor. Bu konuyu müşteri hizmetleri ile görüştüğümde...",#Maxipuan,506,,https://www.sikayetvar.com/is-bankasi/iptal-edilen-kredi-karti-nedeniyle-maxipuanlarin-kullanilamamasi
