operator,id,date,date_raw,username,title,full_text,company_reply,is_resolved,satisfaction,description_preview,keywords,view_count,upvote_count,url
Kuveyt Türk,34722027,2025-12-31,31 Aralık 2025 16:41,Nadir,,,,Çözüldü,,,,431,0,
Kuveyt Türk,34724534,2025-12-31,31 Aralık 2025 21:18,Veli,Kuveyt Türk Ve Yapı Kredi Ortak ATM'de Yüksek İşlem Ücretleri Ve Çift Kesinti,"1
Destek",,Çözülmedi,1/5,"Kuveyt Türk ile Yapı Kredi ortak ATM anlaşması kapsamında İstanbul Bağcılar Yenimahalle’de bulunan bir Yapı Kredi ortak ATM’sinden para yatırma işlemi yaptım. Toplam 20.000 TL yatıracaktım; ATM önce yatırdığım parayı geri verip işlemi iptal etti, daha sonra tutarı iki parça halinde tekrar yatırmak z...",#Para Yatırma,486,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-ve-yapi-kredi-ortak-atmde-yuksek-islem-ucretleri-ve-cift-kesinti
Kuveyt Türk,34722811,2025-12-31,31 Aralık 2025 17:46,Ay Ay,Kuveyt Türk Sanal Kartımdan Yetkisiz Yurt Dışı İşlemler İçin İade Talebi,"Kuveyt Türk adına beni telefonla arayan kişiler, bankadan aradıklarını ve limit artış talebim olduğunu söylediler. Görüşme sırasında yönlendirmeleriyle işlem yapmamı istediler. Sonrasında kredi kartımdan iznim dışında 89.610 TL tutarında para çekildiğini fark ettim. Durumu hemen Kuveyt Türk müşteri
...",,Çözülmedi,1/5,"Kuveyt Türk kredi kartıma bağlı sanal kartımdan 27 Kasım 2025 tarihinde, benim hiçbir bilgim ve onayım olmadan yurt dışı kaynaklı iki adet işlem yapıldığını fark ettim. Toplamda 10.882,12 TL tutarında bu harcamalar, tanımadığım ve hiçbir şekilde alışveriş yapmadığım bir firmaya ait görünüyor. Kart b...",#Kredi,821,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-sanal-kartimdan-yetkisiz-yurt-disi-islemler-icin-iade-talebi
Kuveyt Türk,34717609,2025-12-31,31 Aralık 2025 09:36,İnanç,Kuveyt Türk’te 17 Yaşındaki Müşteriye Kart Reddi Haksızlığı,"Kuveyt Türk Sultanbeyli şubesinden eşimle birlikte giderek kızım adına bir hesap açtırdık ve banka kartı aldık. Tüm gerekli belgeleri hesap açılışı sırasında teslim ettik. Ancak, kartı aldıktan sonra kızımın kartı kullanabilmesi için şifre oluşturmak mümkün olmadı. Şubeyi ve müşteri hizmetlerini def
...","Kuveyt Türk 31 Aralık 2025 12:13    (Şikayetten 2 saat sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Görüş, öneri ve talepleriniz için Müşteri Memnuniyeti Merkezimizle görüşebilirsiniz.
Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır. İnanç 02 Ocak 12:23 Merhaba hala dönül sağlanmadı yardımcı olur musunuz",Çözülmedi,1/5,"30/12/2025 tarihinde Kuveyt Türk şubesine hem hesap açmak hem de banka kartı çıkartmak için gittim. Hesabım açıldı ancak yaşım gerekçe gösterilerek bana kart verilmedi. Oysa bizim dükkanda çalışan 15 yaşındaki bir kişiye daha önce kart verildiğini biliyorum, bu yüzden kendimi haksızlığa uğramış hiss...",#Banka Kartı,317,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turkte-17-yasindaki-musteriye-kart-reddi-haksizligi
Kuveyt Türk,34713849,2025-12-31,31 Aralık 2025 09:40,Berrin,Kuveyt Türk Altın Hesabındaki Açıklanmayan Vergi Kesintisi ve Yetersiz Bilgilendirme,"Altın hesabımdaki 80 gram altını Kuveyt Türk Amasya şubesinden fiziksel olarak Sene başında almak istedim. İsmimi kaydedip size dönüş yapacağız denmesine rağmen 9 ay boyunca hiçbir bilgi verilmedi. Çok defa şubeyi aramama rağmen telefonlar açılmadı. Sonunda 26.09.2024 tarihinde şubeye ulaştım altınl
...
2
Destek","Berrin 31 Aralık 2025 10:35 Ve hiçbir şekilde Kuveyt Türk müşteri hizmetlerini aradığımızda canlı bir temsilci ile görüşemiyoruz. Bilgisayar da kı ses kaydı bende yarımcı olabilirim deyip duruyor ona nasıl anlatacağız söylemisiniz birebir sorulması anlatılması gereken şeyler var kuveytin bu durumu acilen düzeltilmesi gerekiyor. Bu nasıl iletişim desteği. Daha önce de kaç defa aradım aynı şeyle karşılaştım. Teknik destek açığını kapatmanız gerek. Müşteri birebir muhatap olacak şey istiyor. Hep şubeye yönlendiriyorsunuz. Onlarda yeterli bilgiye sahip değiller. Kuveyt Türk 31 Aralık 2025 12:13    (Şikayetten 2 saat sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Görüş, öneri ve talepleriniz için Müşteri Memnuniyeti Merkezimizle görüşebilirsiniz.
Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır. Berrin 12 Ocak 08:30 Anlık kur değişimi vs genel bir bilgi verildi ama BSMV KMV kesintisi olacak denmedi! Tekraren yineliyorum, akıl sağlığım yerinde elhamdülillah insanları AP-tal yerine koymayın. Ben döviz bozdurup altın almadım yani döviz işlemi yaptırmadım. Paramı oradaki orta yaslı beye verdim o yukarı kata cıktı ben işlemleri yapacağım dedi. Zemin kattaki bilgisiz olan genç çocuk cep telinize mesajlara gelecek dedi. Gelecek mesajları okuyamadan vakit aksam olduğu için aceleye getirip hepsini kendi onayladı tamam dediler o kadar. Zaten ilk önce sıra aldım kaç saat bekledim acemi bilgisiz kıza anlattım bir şey anlamadı, yapamayacağını anladığı için o beye yönlendirdi kaç saat de o beyi bekledim tabii ki aksam oldu uc buçukta gittiğim yerden beş de çıktım. Yine kendi hataları yani! Deneyimsiz bilgisiz insanlar çalıştırıyorsunuz bu nasıl banka? Hele Kuveyt Türk'e hiç yakışmıyor. İnsanları allem edip kallem edip kaşla göz arasında parasını alıyorsunuz sonrada üste çıkıyorsunuz! Zaten müşteriyi kaç saat beklettiniz bir BES dakika geç kapatın ama ısınızı adam gibi yapın! Ez cümle altınlarımı fiziki olarak istediğimde teslim etmezseniz Tüketici Mahkemesi, BDDK ve her türlü kanuni yola başvuracağım! Berrin 12 Ocak 08:37 Ve ayrıca kamera kayıtlarınızı incelerseniz kendinizde göreceksiniz. Tabi işinize gelmediği için incelemezsiniz! Kendi çalışanlarınızı korumak ve alınan haksız kesintiyi vermek istemediğiniz için! Gerekirse ben inceleteceğim...",Çözülmedi,1/5,Bugün Kuveyt Türk Amasya şubesine gittim. Aslında proje tercihli özel fon havuzu katılım hesabı açtıracaktım ama böyle bir hizmetlerinin olmadığını söyledi normal katılımda ben açtırmadım. Altın hesabı nasıl oluyor dedim fiziki olursa daha yüksek meblağda kesintiler olacağını online olarak açılması...,#Altın,6269,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-altin-hesabindaki-aciklanmayan-vergi-kesintisi-ve-yetersiz-bilgilendirme
Kuveyt Türk,34720640,2025-12-31,31 Aralık 2025 14:51,Şükrü,Kuveyt Türk Üsküdar Şubesinde Çocuk Hesabı Açmak İçin Gereksiz İmza Şartı Ve Kaba Davranış,"23 Ekim 2025 tarihinde İstanbul Ümraniye Atakent Kuveyt Türk şubesinde maaş hesabı açmak için başvurdum. Şubeye gittiğimde, beni kapalı bir odaya alıp ekrandan müşteri temsilcisinin bağlanmasını beklememi istediler. Yaklaşık 1 saat boyunca boş bir ekrana bakmak zorunda kaldım ve bu süreçte şube için
...","Kuveyt Türk 31 Aralık 2025 16:19    (Şikayetten 1 saat sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Görüş, öneri ve talepleriniz için Müşteri Memnuniyeti Merkezimizle görüşebilirsiniz.
Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır.",Çözülmedi,1/5,"31 Aralık 2025 günü saat 13.45 civarında İstanbul Üsküdar Bosna Bulvarı Kuveyt Türk şubesine çocuğuma hesap açmak için gittim. Bireysel müşteri temsilcisi, işlem için anne ve babanın her ikisinin de imzasının gerektiğini söyledi. Ben de devlet bankası olan Ziraat Bankası’nda böyle bir uygulama olmad...",#Hesap Açma,2430,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-uskudar-subesinde-cocuk-hesabi-acmak-icin-gereksiz-imza-sarti-ve-kaba-davranis
Kuveyt Türk,34718693,2025-12-31,31 Aralık 2025 12:00,Furkan,Kuveyt Türk Kredi Kartı İptal Talebim Çağrı Merkezinde Kesiliyor,"Kuveyt Türk müşteri hizmetlerine ulaşmakta ciddi sorun yaşıyorum. 444 0 123 numaralı çağrı merkezini aradığımda, yapay zekaya 6-7 defa “müşteri hizmet
...","Kuveyt Türk 31 Aralık 2025 12:13    (Şikayetten 12 dakika sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Görüş, öneri ve talepleriniz için Müşteri Memnuniyeti Merkezimizle görüşebilirsiniz.
Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır.",Çözüldü,5/5,Kuveyt Türk kredi kartımın iptal edilmesi için bugün içerisinde defalarca kez 444 0 123 numaralı hattı aradım. Müşteri hizmetlerine bağlanmak için menüleri takip edip beklerken her seferinde görüşme bir anda sonlandırılıyor ve hiçbir şekilde canlı destek alıp kart iptal talebimi iletemiyorum. Kredi...,#Kredi Kartı,512,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-kredi-karti-iptal-talebim-cagri-merkezinde-kesiliyor
Kuveyt Türk,34719606,2025-12-31,31 Aralık 2025 13:29,Esma,Kuveyt Türk Şubesinde 500 Euro Banknotları Reddedildi Müşteri Mağdur Oldu,"Kuveyt Türk Bankası Kırşehir Şubesi'ne 21 Haziran 2024 tarihinde saat 09:00 sularında 500 Euro banknot yatırmak amacıyla gittim. Ancak, banka çalışanları 500 Euro banknotları kabul edemeyeceklerini belirtti. Durumun yasal olduğunu ve bu banknotların hala geçerli olduğunu ifade etmeme rağmen, ısrarla
...
1
Destek","Kuveyt Türk 31 Aralık 2025 14:32    (Şikayetten 1 saat sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Görüş, öneri ve talepleriniz için Müşteri Memnuniyeti Merkezimizle görüşebilirsiniz.
Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır.",Çözülmedi,1/5,"31 Aralık 2025 saat 11.20’de Kuveyt Türk Kepez şubesine giderek elimde bulunan 500 Euro’luk iki adet banknotu bozdurmak istedim. Şube görevlileri, banka politikası gereği 500 Euro kupürünün kesinlikle kabul edilmediğini, bu nedenle hiçbir şekilde işlem gerçekleştirilemeyeceğini belirtti. Bankaların...",#Euro,430,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-subesinde-500-euro-banknotlari-reddedildi-musteri-magdur-oldu
Kuveyt Türk,34718810,2025-12-31,31 Aralık 2025 12:15,Metin,Yanlış Bilgilendirme Sonucu 24.000 TL Promosyon 16.000 TL’ye Düşürüldü,"Kuveyt Türk’te emekli maaşımı taşıyarak Ağustos 2025 döneminde, 3 yıl kalma taahhüdü ile 24.000 TL emekli promosyonu ve buna ek olarak faturalar üzerinden 2.500 TL ek ödeme sözü verildi. Kampanya kapsamında beş adet otomatik fatura talimatı verilmesi gerektiği belirtilmesine rağmen, benim zaten 10 a
...
1
Destek
1
Yorum","Kuveyt Türk 31 Aralık 2025 12:22    (Şikayetten 6 dakika sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Görüş, öneri ve talepleriniz için Müşteri Memnuniyeti Merkezimizle görüşebilirsiniz.
Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır. Metin 06 Ocak 07:58 İletişime geçen olmadı ve şikayetim sonuçlanmadı Metin 07 Ocak 22:51 Şikayetime cevap verilmedi sonuçlanmadı Metin 08 Ocak 16:55 Kuveyt Türk bankası müşteri temsilcisi dönüş yaparak olumlu olumsuz cevap versin artık yoksa Tüketici Mahkemesi'ne vereceğim Metin 11 Ocak 08:17 Nasıl bir inceleme yapıyorlarsa sürekli inceleme devam ediyor diye mail atıyorlar sonuç yok Metin 12 Ocak 22:59 Sürekli inceleme devam ediyor diye mail atıyorlar sonuç yok Metin 20 Ocak 12:50 Sürekli başvurunuz inceleniyor şeklinde mesaj atıp duruyorlar çözüm yok. Önceki şikayetime haklı olduğunuz tespit edildi ilgili personeller uyarıldı cevabı verdiler. Vatandaşlara kasten veya bilmeden yanlış bilgilendirme yapıp zaten mağdur olan emeklileri mağdur ediyorlar. Maaş taşıma sürecinde müşteri temsilcinizin taahhüt ettiği 24000 TL lik tutarı eksik yatırmayın. Eksik yatırdığınız 8000 TL nin hesabıma yatırılarak mağduriyetimin giderilmesini ve diğer emeklililerin de bu şekilde mağdur edilmemesini istiyorum.",Çözülmedi,1/5,"Kuveyt Türk’te emekli promosyonu için müşteri hizmetleriyle yaptığım telefon görüşmesinde, maaş limiti gözetilmeksizin herkese 24.000 TL promosyon ödemesi yapılacağı açıkça söylendi. Bu bilgilendirmeye güvenerek emekli maaşımı İş Bankası’ndan Kuveyt Türk’e taşıdım. Ancak 25 Aralık tarihinde mobil b...",#Emekli Promosyonu,2658,,https://www.sikayetvar.com/kuveyt-turk/yanlis-bilgilendirme-sonucu-24000-tl-promosyon-16000-tlye-dusuruldu
Kuveyt Türk,34720837,2025-12-31,31 Aralık 2025 15:05,Ramazan,Kuveyt Türk Konya Şubesinde Saygısız Müşteri Tavırları,"Konu: Banka Şubesi Çalışanı hakkında Şikayet Sayın Kuveyt Türk Genel Müdürlüğü, Konya Şube'nizde, 22 Ekim 2024 tarihinde yaşamış olduğum olumsuz bir deneyim nedeniyle bu yazıyı kaleme alıyorum. 16.57’de bankanıza para yatırmak için sıra numarası aldım. Ancak işlem yapmak istediğimde, bu saatte pa
...","Kuveyt Türk 31 Aralık 2025 16:19    (Şikayetten 1 saat sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Görüş, öneri ve talepleriniz için görüşebilirsiniz.
Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır.",Çözüldü,5/5,"Yaklaşık bir ay önce Kuveyt Türk Konya Şubesi’ne gelir‑gider tablosu almak için gittim. Ancak şubede karşılaştığım tavırlar beni hem çok üzdü, hem de kurumsal bir bankaya yakışmadı. Görevli personelin müşteriye karşı tutumları son derece saygısız ve ilgisizdi. Ne için geldiğimi soran bazı çalışanla...",,442,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-konya-subesinde-saygisiz-musteri-tavirlari
