operator,id,date,date_raw,username,title,full_text,company_reply,is_resolved,satisfaction,description_preview,keywords,view_count,upvote_count,url
Kuveyt Türk,31179582,1/2/2025,02 Ocak 2025 14:03,Hasan,,,,Çözüldü,,,,0,0,
Kuveyt Türk,31188099,1/3/2025,03 Ocak 2025 10:29,Burak,,,,Çözüldü,,"Kuveyt Türk Sağlam Kart ile Hepsiburada'da vade farksız 12 taksit yapılabiliyordu, şu an yapılamıyor. Anlaşmanın süresi bitmiş. Üniversite öğrencisiyi...",#Sağlam Kart,1916,0,
Kuveyt Türk,31188845,1/3/2025,03 Ocak 2025 11:44,İshak,,,,Çözüldü,,,#Banka Kartı,540,0,
Kuveyt Türk,31192238,1/3/2025,03 Ocak 2025 16:12,Akif,,,,Çözüldü,,Kuveyt Türk üzerinden hesap açmak istedim. Malatya/Merkez şubesine gittiğimde bana uygulama üzerinden başvuru yapmanız gerek dendi. Uygulama üzerinden...,#Hesap Açma,5428,0,
Kuveyt Türk,31193727,1/3/2025,03 Ocak 2025 18:15,Maya,,,,Çözüldü,,,,157,0,
Kuveyt Türk,31195268,1/3/2025,03 Ocak 2025 20:38,Muhammed,,,,Çözüldü,,,,1971,0,
Kuveyt Türk,31196755,1/3/2025,03 Ocak 2025 23:19,Şule,,,,Çözüldü,,,,0,0,
Kuveyt Türk,31202004,1/4/2025,04 Ocak 2025 15:30,Tuncay,,,,Çözüldü,,Müşteri hizmetlerine bir türlü bağlanamıyorum. Diğer bankalarda hiç sıkıntı yaşamadan yıllardır bağlanıyorum fakat bu Kuveyt Türk ömrümden ömür alıyor...,,474,0,
Kuveyt Türk,31207308,1/6/2025,06 Ocak 2025 08:50,Mecbure,,,,Çözüldü,,Kuveyt Türk Cennet şubesinden 01.11.2024'de 1700 dolar çektim 900 doları beyaz çıktı. 22.11.2024'de 4100 dolar çektim bunun da 200 doları beyaz çıktı....,#Dolar,1353,0,
Kuveyt Türk,31207388,1/5/2025,05 Ocak 2025 01:59,Ömer,,,,Çözüldü,,Kaçıncı yüzyılda yaşıyoruz. Kuveyt Türk katılım bankacılık hususunda geriden geliyor. Çok şaşkınım! Kredi kartımla internet alışverişi sistem hatası v...,#Kredi Kartı,557,0,
Kuveyt Türk,31210421,1/5/2025,05 Ocak 2025 15:41,Yaşar,,,,Çözüldü,,,,97,0,
Kuveyt Türk,31216059,1/6/2025,06 Ocak 2025 10:08,Ahmet,,,,Çözüldü,,,,1,0,
Kuveyt Türk,31220973,1/6/2025,06 Ocak 2025 16:17,Fatih,,,,Çözüldü,,Kuveyt Türk maaş müşterisiyim. Kredi kartı kullanıyorum fakat uzun zamandır uğraşmama rağmen bir türlü limit artırımı yapamıyorum. Borcumu zamanında ö...,#Kredi Kartı,1769,1,
Kuveyt Türk,31221773,1/6/2025,06 Ocak 2025 17:13,Şafak,Altın Teslimatı Sonrası Beklenmedik Masraflar,"Kuveyt Türk altın hesabı bana nasıl kabusu yaşattı. Fiziki altınlarımı 24 ayara çevirerek mobilden de takip edebileceğimi istediğim zaman çekebileceğimi bu şekilde güvenle işlem yapabileceğimi söylediler. Çoğu Cumhuriyet olan altınlarım 271 grama çevrildi ve bu çevrilme için en başta masraf aldılar.
...
5
Destek
1
Yorum","Kuveyt Türk 07 Ocak 2025 09:04    (Şikayetten 15 saat sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır.",Çözüldü,5,Kuveyt Türk Eminönü şubesine 03.01.2023 tarihinde 2850 gr altınımı ons rafineri aracılığıyla teslim ettim ve 1 yıllık fatsi hesabı açtım. Hesap dönüşü...,#Hesap,1038,,https://www.sikayetvar.com/kuveyt-turk/altin-teslimati-sonrasi-beklenmedik-masraflar
Kuveyt Türk,31233517,1/7/2025,07 Ocak 2025 16:51,Hüseyin,,,,Çözüldü,,Kuveyt Türk bankasından hesap açmak istedim. Hakkımda fraud işlemi olduğu için açamadıklarını söylediler. Bununla ilgili hiçbir delil vs. Sunmadılar....,#Hesap Açma,1266,0,
Kuveyt Türk,31236604,1/7/2025,07 Ocak 2025 20:51,Yunus,,,,Çözüldü,,,,884,0,
Kuveyt Türk,31239296,1/8/2025,08 Ocak 2025 02:05,Süleyman,Kuveyt Türk Bireysel Emeklilikte Geciken Ödeme Ve İletişim Sorunları,"Kuveyt Türk bankasından bireysel emeklilik fonuna girmiştim, gitmeden önce sorduğumda istediğimiz zaman çıkabiliyor. Muyuz diye sordum, çıkabilirsiniz ama devlet desteği kesili paranızı faizsiz olarak alabilirsiniz. Bilgisi verilmişti. Bende böylelikle girdim. Ama şimdi çıkmak istiyorum. Devlet dest
...
1
Destek","Kuveyt Türk 08 Ocak 2025 09:00    (Şikayetten 6 saat sonra) Değerli Müşterimiz,

Tarafımıza iletmiş olduğunuz talebiniz kayıt altına alınmıştır. En kısa süre içerisinde iletişim bilgilerinizden sizinle görüşme sağlanacaktır.

Kuveyt Türk Katılım Bankası tüm bankacılık işlemlerinizde, internet ve telefon bankacılığı, şubeleri ve müşteri hizmetleri ile her zaman yanınızdadır. Süleyman 10 Ocak 2025 09:35 Teşekkürler Ziraat Ve Şikayet var Sözcümüz oldunuz",Çözüldü,5,Kuveyt Türk bireysel emeklilik hesabına üye oldum. Ayrılma talebinde bulundum. Birini bir hafta içerisinde teslim ettiler ama meblağı yüksek olanı 35...,#Bireysel Emeklilik,2609,,https://www.sikayetvar.com/kuveyt-turk/kuveyt-turk-bireysel-emeklilikte-geciken-odeme-ve-iletisim-sorunlari
Kuveyt Türk,31241009,1/8/2025,08 Ocak 2025 10:59,Fatma,,,,Çözüldü,,,,197,0,
Kuveyt Türk,31242033,1/8/2025,08 Ocak 2025 12:22,Süeda,,,,Çözüldü,,,,210,0,
