operator,id,date,date_raw,username,title,full_text,company_reply,is_resolved,satisfaction,description_preview,keywords,view_count,upvote_count,url
VakifBank,34720152,2025-12-31,31 Aralık 2025 14:14,Gürbüz,Ek Hesap Borcunun Aşırı Faizi Aile Bütçesini Yıktı,"VakıfBank maaş müşterisiyim. Bankadaki ek hesabımı ve kredi kartı borcumu yapılandırmak istiyorum; ancak sistemde yapılandırma seçeneği sunulmuyor, müşteri hizmetlerini aradığımda da herhangi bir şekilde yardımcı olunmuyor. Ek hesap ve kredi kartı borçlarım, son ödeme tarihi gelmeden maaşım yatar y
...","VakıfBank 31 Aralık 2025 14:14    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden, Bize Ulaşın bölümünden, Müşteri İletişim Merkezimizden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank  
Müşteri Memnuniyeti Gürbüz 31 Aralık 2025 17:54 Ya 15 ya da 20 yıllık maaş müşterinizim sizin, paranız mı kaldı bende, söke söke son kuruşuma kadar aldınız hep, bu ne vurdum duymazlıktır. Gürbüz 31 Aralık 2025 18:01 Yılbaşı günü eğlenmek mutlu olmak isterken nelerle uğraşıyoruz... Gürbüz 31 Aralık 2025 19:33 20 yıllık maaş müşterisine en katı BBDK kurallarını gerekçe göstererek hiç bireysel kredisi olmamasına rağmen kredi vermeyerek sürekli faizi katlanan ek hesap tuzağına düşürmek, sonra da ayın 1'inde yüksek faizi ödeme şartı getirerek, ödenmediği takdirde bütün hesaplarına bloke koymak, bu kesinlikle bir tuzaktır, bu vahim durum çözülmediği takdirde sendika aracılığıyla mahkemeye vereceğim sizi... Gürbüz 31 Aralık 2025 19:37 Kaç yıldır sizden maaş al8yorum, ilk defa bu duruma düştüm ve siz beni bu kadar itibarsızlaştırdığınız için tazminat davası da açmayı düşünüyorum...",,,"Yıllardır VakıfBank maaş müşterisiyim ve bankanızda hiç bireysel kredi borcum olmamasına rağmen, nakit ihtiyacım olduğunda kredi talebim defalarca reddedilerek sürekli ek hesaba yönlendirildim. Maaş hesabıma tanımlı 253.500 TL limitli ek hesabı uzun süredir kullanıyorum ve borç 2025 Eylül ayından it...",#Ek Hesap,6139,,https://www.sikayetvar.com/vakifbank/ek-hesap-borcunun-asiri-faizi-aile-butcesini-yikti
VakifBank,34717194,2025-12-31,31 Aralık 2025 04:38,Dilay,Kullanılmayan Ek Hesap Ücretinin İadesi,"VakıfBank müşterisiyim ve bu ay maaş aktarımı sonrası ilk maaşımı VakıfBank üzerinden aldım. Hesabımda hiçbir şekilde ek hesap kullanmamama ve kredili mevduat hesabından yararlanmamama rağmen, 28.11.2025 tarihinde saat 01.28’de hesabımdan 9,33 TL 'ek hesap faiz tahakkuku' adı altında kesinti yapıldı
...","VakıfBank 31 Aralık 2025 04:39    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",,1/5,"VakıfBank ek hesabım için “Ek hesap faiz tahakkuk ve tahsilatı” açıklamasıyla 31 Aralık 2025 tarihinde ek hesabımdan 4,11 TL tutarında bir ücret çekildiğini fark ettim. Ek hesabımı şimdiye kadar hiç kullanmadım ve herhangi bir borcum bulunmamasına rağmen bu kesinti yapılmıştır. İlgili işlemi VakıfB...",#Ek Hesap,759,,https://www.sikayetvar.com/vakifbank/kullanilmayan-ek-hesap-ucretinin-iadesi
VakifBank,34720504,2025-12-31,31 Aralık 2025 14:38,Furkan,Sky Limit Özelliği Hata Veriyor Ve Kullanılamıyor,"10 Ekim 2025 tarihinden bu yana VakıfBank mobil uygulaması üzerinden Sky Limit kapsamında kredi kullanmaya çalışıyorum. Ancak her denememde “Şu an işleminizi gerçekleştiremiyoruz” şeklinde bir hata mesajı alıyorum ve yaklaşık 2 haftadır bu sorun devam ediyor. Konu ile ilgili müşteri hizmetleriyle i
...","VakıfBank 31 Aralık 2025 14:38    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",,1/5,"Sky uygulamasında yer alan Sky Limit özelliğini yaklaşık 2 aydır, Ekim sonundan beri kullanamıyorum. Daha önce Sky Limit üzerinden yaptığım tüm işlemleri sorunsuz bir şekilde ödedim ve borçlarımı tamamen kapattım. Ancak ödemelerim bittikten sonra Sky Limit’i her kullanmak istediğimde “işleminizi şu...",#Sky Limit,3673,,https://www.sikayetvar.com/vakifbank/sky-limit-ozelligi-hata-veriyor-ve-kullanilamiyor
VakifBank,34717339,2025-12-31,31 Aralık 2025 07:29,Hasan,Ek Hesap Faiz Tahakkuku Haksız Ve Aşırı,"VakıfBank ek hesabım için “Ek hesap faiz tahakkuk ve tahsilatı” açıklamasıyla 31 Aralık 2025 tarihinde ek hesabımdan 4,11 TL tutarında bir ücret çekildiğini fark ettim. Ek hesabımı şimdiye kadar hiç kullanmadım ve herhangi bir borcum bulunmamasına rağmen bu kesinti yapılmıştır. İlgili işlemi VakıfB
...
1
Destek","VakıfBank 31 Aralık 2025 07:29    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden, Bize Ulaşın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti Hasan 01 Ocak 15:29 Konuyla alakalı henüz bir dönüş yapılmadı. Müşteri hizmetleriniz tarafından dönüş yapılmasını ve hesaplanan yanlış tutarın iadesini talep ediyorum.",,1/5,"03.12.2025 tarihinde VakıfBank vadesiz ek hesabımdan 63.000 TL tutarında bakiye kullandım. Bu tutarı 06.12.2025 tarihinde mobil internet bankacılığı üzerinden tamamen geri ödeyerek borcumu kapattım. Ancak bugün hesabımı kontrol ettiğimde, “ek hesap faiz tahakkuku” adı altında 611 TL’nin hesabımdan t...",#Ek Hesap,1389,,https://www.sikayetvar.com/vakifbank/ek-hesap-faiz-tahakkuku-haksiz-ve-asiri
VakifBank,34718142,2025-12-31,31 Aralık 2025 11:00,Apdullah,VakıfBank Şubesinde Nakit Çekiminde Eksik Tutar ve Personel Davranışı Şikayeti,"19 Eylül 2025 tarihinde İzmir Buca Çevik Bir VakıfBank şubesinde gişeden 4000 TL Nakit çekme işlemi yaptım. Ancak veznede çalışan yeşil gömlekli bayan tarafından bana 3810 TL teslim edildi. Parayı sayınca 200 TL eksik olduğunu fark ettim ve hemen vezneye gidip durumu belirttim. Fakat çalışan, eksik
...
2
Destek","VakıfBank 31 Aralık 2025 11:00    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuzda T.C. Kimlik Numarası, Vakıfbank Müşteri Numarası vb. gibi bilgiler paylaşılmadığından bilgilerinize ulaşılamamıştır. Hedef sorular kısmındaki bilgilerinizi güncellemeniz halinde başvurunuz incelemeye alınacaktır.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti Apdullah 05 Mart 12:18 Annemin hesabından yapıldı miyase kuruçay iyice bakın diyeceğim de gerek yok zaten artık sizin bankayla çalışmıyoruz cevremizide tavsiye etmiyoruz",,1/5,"Annem M****** K******, 30.12.2025 tarihinde saat 14:40–15:00 arasında VakıfBank İzmir Menderes Şubesi’nden gişeden 3.000.000 TL Nakit para çekmiştir. Eve geldiğimizde parayı tekrar saydığımızda, tarafımıza verilen tutarın 20.000 TL eksik olduğunu fark ettik. Annem ertesi gün şubeye giderek durumu b...",#Para Çekme,392,,https://www.sikayetvar.com/vakifbank/vakifbank-subesinde-nakit-cekiminde-eksik-tutar-ve-personel-davranisi-sikayeti
VakifBank,34719542,2025-12-31,31 Aralık 2025 13:20,Önder,VakıfBank Kredi Kartı Borcunda Avukatın Sürekli Tehdit Ve Telefon Aramalarıyla Psikolojik Baskı,"VakıfBank kredi kartı borcum nedeniyle, bankanızın dosyamı devrettiği Y*** Hukuk Bürosu tarafından yaklaşık bir ay boyunca ciddi şekilde rahatsız ediliyorum. Konya’da ikamet ediyorum, söz konusu hukuk bürosunun İstanbul’da olduğunu biliyorum ve özellikle sabah saatlerinde sürekli aranıyorum. Borçlu
...
2
Destek","VakıfBank 31 Aralık 2025 13:20    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi Bize Yazın bölümünden, Bize Ulaşın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",Çözüldü,1/5,"VakıfBank kredi kartı borcum nedeniyle yaklaşık bir aydır banka adına dosyamı takip eden avukatlık bürosu tarafından hem telefonla hem de SMS ile sürekli olarak rahatsız ediliyorum. Her gün arama yapıp üzerimde hiçbir mal varlığım olmamasına rağmen haciz başlatılacağını, hapis yatacağımı ve ailemin...",#Kredi Kartı,5128,,https://www.sikayetvar.com/vakifbank/vakifbank-kredi-karti-borcunda-avukatin-surekli-tehdit-ve-telefon-aramalariyla-psikolojik-baski
VakifBank,34718640,2025-12-31,31 Aralık 2025 11:52,Melike,İzinsiz Konut Sigortası Yenilemesi Ve Şube Personelinin Saygısız Tutumu,"28 Aralık 2025 tarihinde VakıfBank kredi kartımdan, bilgim ve onayım olmadan 17.256 TL tutarında konut sigortası yenilemesi yapılmıştır. Bu işlem tamamen iznim dışında gerçekleşmiş olup, aynı durum daha önce de bir kez başıma gelmişti.Durumu öğrenir öğrenmez VakıfBank SaltakŞubesi ile iletişime geçtim; ancak şube personeliyle yaptığım görüşmede son derece saygısız bir tutumla karşılaştım vetelefonyüzüme kapatıldı. Hem bilgim dışında ikinci kez sigorta yenilenmesi hem de şube personelinin bu davranışı nedeniyle ciddi anlamda mağdur edildim ve rahatsız oldum.Kredi kartı ekstresinde işlem detayları ve elimde bulunan belgelerden de görülebileceği üzere, bu konut sigortası yenilemesinin tarafımdan verilmiş herhangi bir onaya dayanmadığını belirtmek isterim. VakıfBank’tan talebim, bilgim ve onayım dışında yapılan bu sigorta yenilemesinin derhal iptal edilmesi ve kredi kartımdan çekilen 17.256 TL tutarın eksiksiz olarak tarafıma iade edilmesidir.Bu işlemin bir daha tekrarlanmaması için gerekli incelemenin yapılmasını ve tarafıma yazılı olarak bilgilendirme yapılmasını bekliyorum.","VakıfBank 31 Aralık 2025 11:52    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",Çözüldü,4/5,"28 Aralık 2025 tarihinde VakıfBank kredi kartımdan, bilgim ve onayım olmadan 17.256 TL tutarında konut sigortası yenilemesi yapılmıştır. Bu işlem tamamen iznim dışında gerçekleşmiş olup, aynı durum daha önce de bir kez başıma gelmişti. Durumu öğrenir öğrenmez VakıfBank Saltak Şubesi ile iletişime g...",#Sigorta,283,,https://www.sikayetvar.com/vakifbank/izinsiz-konut-sigortasi-yenilemesi-ve-sube-personelinin-saygisiz-tutumu
VakifBank,34709006,2025-12-30,30 Aralık 2025 13:40,Ekrem,Mobil Bankacılık Üzerinden 400.000 TL EFT İşleminde 160 TL Ücretin Aşırı Yüksek Olması,"Yıllardır VakıfBank müşterisiyim. Kendi şirketimin portföyü dahil bu bankadaydı, daha önce kuruş bazında olduğu için önemsemediğim EFT havale işlem ücreti kesiyordu. 25 Şubat 2025 itibariyle 12-13 TL bandında her işlemden ücret kesmeye başladı. Bütün işlemlerimi VakıfBank üzerinden yapıyorum. Bu mağ
...
1
Destek","VakıfBank 30 Aralık 2025 13:40    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden, Bize Ulaşın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",,1/5,"VakıfBank bireysel hesabımdan mobil bankacılık üzerinden yapmak istediğim yaklaşık 400.000 TL tutarındaki EFT işlemi için sistemde görünen yaklaşık 160 TL’lik EFT ücretini kesinlikle makul bulmuyorum. Bu tutar, yapılacak işlemle ve verilen hizmetle kıyaslandığında abartılı derecede yüksek geliyor....",#EFT,776,,https://www.sikayetvar.com/vakifbank/mobil-bankacilik-uzerinden-400000-tl-eft-isleminde-160-tl-ucretin-asiri-yuksek-olmasi
VakifBank,34707570,2025-12-30,30 Aralık 2025 11:44,Aysenur,Kredi Kartı Limiti Artış Talebim Gerekçesiz Reddedildi,"VakıfBank kredi kartıma 24.11.2025 tarihinden itibaren mobil bankacılık üzerinden yaptığım tüm limit artırma başvurularım sebepsiz bir şekilde sürekli reddediliyor. Herhangi bir gerekçe belirtilmediği için neden onaylanmadığını da öğrenemiyorum. Bu durum üzerine müşteri temsilcisiyle de görüştüm an
...","VakıfBank 30 Aralık 2025 11:44    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",,1/5,"VakıfBank kredi kartı müşterisiyim. Gelirim yüksek olmasına, kredi notumun iyi olmasına, bugüne kadar hiçbir gecikmeli ödemem ve asgari tutarın altında bir ödeme yapmamış olmama rağmen kredi kartı limit artış talebim, 3 gündür hem mobil uygulama üzerinden hem de müşteri hizmetlerini arayarak yaptığı...",#Kredi Kartı,952,,https://www.sikayetvar.com/vakifbank/kredi-karti-limiti-artis-talebim-gerekcesiz-reddedildi
VakifBank,34709964,2025-12-30,30 Aralık 2025 15:02,Hatice,Ek Hesap Borcu İçin 60 Aylık Yapılandırma Talebi,"VakıfBank Pendik istasyon şubesi’indeki ek hesabımın 500.000 TL borcunu ödemekte zorlandığım için 1 hafta önce yapılandırma talebinde bulundum. Şubeye başvurduktan sonra müşteri hizmetleriyle de görüştüm. Sadece 12 ay vade ile yapılandırma yapılabileceği belirtildi. Borç tutarım yüksek olduğu için
...","VakıfBank 30 Aralık 2025 15:02    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti",,1/5,"VakıfBank nezdinde bulunan ek hesabımda 294.000 TL borcum bulunmaktadır. Bu borcumu gelir durumuma uygun şekilde düzenli ödeyebilmek için 60 ay vadeye kadar yapılandırma talebim oldu. Yaklaşık iki hafta önce müşteri hizmetlerini aradığımda, ek hesap borcum için en fazla 12 ay vade ile yapılandırma...",#Ek Hesap,7784,,https://www.sikayetvar.com/vakifbank/ek-hesap-borcu-icin-60-aylik-yapilandirma-talebi
VakifBank,34706550,2025-12-30,30 Aralık 2025 09:46,Nurgül,Erken Kapama Sonrası Sky Limit Kredi Kullanılamama Sorunu,"VakıfBank müşterisiyim ve mobil bankacılık üzerinden ihtiyaç kredisi kullanmak için tanımlı olan Sky Limitimi kullanmaya çalışıyorum. Uygulamada Sky Limitimin hazır olduğu görünüyor ancak işlem adımlarını tamamlamak istediğimde sistem sürekli ""Şu anda işleminizi gerçekleştiremiyoruz"" benzeri bir uya
...
1
Destek","VakıfBank 30 Aralık 2025 09:46    (Şikayetten 1 dakika sonra) Sayın Müşterimiz, ilettiğiniz başvurunuz Bankamızın inceleme ekiplerine iletilmiştir.

Bankamız ürün ve hizmetleri ile ilgili şikayet, öneri ve taleplerinizi İnternet Bankacılığı ve Mobil Bankacılıkta yer alan Bize Yazın bölümünden ve Şubelerimizden de iletebilirsiniz.

Saygılarımızla.

VakıfBank
Müşteri Memnuniyeti Nurgül 30 Aralık 2025 23:00 erken-kapama-sonrasi-sky-limit-kredi-kullanilamama-sorunu-1.jpg SMS gönderip krediniz olumsuz diye yanıt veriliyor ben kredi istemiyorum kredi çekmekte şu an için istemiyorum sky limitlerimi ihtiyaç dahilinde kullanmak istiyorum mobil üzerinden 12 yıldır VakıfBank ile çalışıyorum erken kapamadan dolayı neden böyle bir şeyle karşılıyorum Nurgül 26 Ocak 16:05 erken-kapama-sonrasi-sky-limit-kredi-kullanilamama-sorunu-1.jpg Erken kapamadan dolayı mobil bankacılık üzerinden kredi işlem yapmıyorum düzeltilmesini istiyorum",,1/5,"12 yıldır VakıfBank müşterisiyim ve Sky Limit ürünüm üzerinden kredi ve masrafsız ihtiyaç kredisi kullanmak isterken, yaklaşık 15 gündür sistemsel bir hatadan dolayı işlem yapamıyorum. Daha önce kullandığım kredilerde erken kapama yaptığım için, şu anda mobil ve internet bankacılığı üzerinden “İşlem...",#Bireysel Kredi,2149,,https://www.sikayetvar.com/vakifbank/erken-kapama-sonrasi-sky-limit-kredi-kullanilamama-sorunu
